Word,POS
퇴학,NNG
등교,NNG
아버지,NNG
종,NNG
기도,NNG
짓,NNG
전학,NNG
벌,NNG
대상,NNG
위원회,NNG
처분,NNG
피해자,NNG
사례,NNG
방학,NNG
적어도,MAG
연락처,NNG
예정일,NNG
진통,NNG
택시,NNG
재수,NNG
외박,NNG
헛,XPN
웃음,NNG
장애,NNG
단지,MAG
참석,NNG
기일,NNG
시련,NNG
집착,NNG
텅,MAG
결혼식장,NNG
하객,NNG
아르바이트,NNG
지우,NNP
살인자,NNG
당사자,NNG
허약,NNG
조깅,NNG
틈틈이,MAG
스트레칭,NNG
평지,NNG
공원,NNG
인터넷,NNG
주문,NNG
재작년,NNG
알코올,NNG
중독,NNG
완벽,NNG
서서히,MAG
보험사,NNG
종류,NNG
자세히,MAG
영양,NNG
하나하나,MAG
깜깜,MAG
깜짝,MAG
실감,NNG
알츠하이머,NNG
전문,NNG
가족력,NNG
할아버지,NNG
유전,NNG
뇌,NNG
물,NNG
혹,NNG
악성,NNG
종양,NNG
구체,NNG
진찰,NNG
검색,NNG
골프,NNG
팔목,NNG
추천,NNG
채식주의,NNG
고수,NNG
악,NNG
빈혈,NNG
골고루,MAG
발목,NNG
염좌,NNP
당분간,MAG
단순,NNG
감기,NNG
결핵,NNG
기적,NNG
설사,NNG
부작용,NNG
어서,MAG
손바닥,NNG
생기,NNG
경화,NNG
완쾌,NNG
분명히,MAG
병문안,NNG
새해,NNG
연배,NNG
호전,NNG
기약,NNG
한쪽,NNG
처지,NNG
백내장,NNG
힐끔힐끔,MAG
주눅,NNG
옆자리,NNG
남직원,NNG
워크숍,NNG
매진,NNG
외제,NNG
자존심,NNG
티,NNG
적극,NNG
반영,NNG
갈등,NNG
중립,NNG
영업,NNG
직급,NNG
한마디,NNG
동결,NNG
맛,NNG
보상,NNG
일방,NNG
항의,NNG
인상,NNG
이웃,NNG
품,NNG
우승,NNG
어려움,NNG
곁,NNG
친목,NNG
활동,NNG
어버이날,NNG
구속,NNG
맘,NNG
다리,NNG
쭉,MAG
임플란트,NNG
시술,NNG
무료,NNG
작년,NNG
매입,NNG
가격,NNG
부자,NNG
적립,NNG
수익,NNG
수익률,NNP
노래자랑,NNG
수상,NNG
상금,NNG
가담,NNG
주동자,NNG
지목,NNG
정확히,MAG
용서,NNG
합의,NNG
뺨,NNG
유일,NNG
표정,NNG
모함,NNG
용기,NNG
기록,NNG
대부분,MAG
퇴원,NNG
전염,NNG
보험료,NNG
기침,NNG
독감,NNG
실은,MAG
마스크,NNG
안과,NNG
원인,NNG
알레르기,NNG
비염,NNG
코,NNG
바로,MAG
심부전증,NNG
턱걸이,NNG
혈당,NNG
보람,NNG
영감,NNG
문안,NNG
거동,NNG
간병인,NNG
형수,NNG
사정,NNG
첫째,NR
외국,NNG
이기,NNG
자취,NNG
타박,NNG
수술비,NNG
일리,NNG
응급,NNG
코골이,NNG
전염병,NNG
어처구니,NNG
몰상식,NNG
어머니,NNG
원망,NNG
머리카락,NNG
노,NNG
현상,NNG
탈모,NNG
의존,NNG
비참,NNG
강아지,NNG
쩝쩝,MAG
간호사,NNG
확,MAG
등록금,NNG
적금,NNG
유방암,NNG
진단,NNG
완치,NNG
기관지염,NNG
금연,NNG
자원봉사,NNG
간병,NNG
함부로,MAG
빵집,NNG
활력,NNG
기념,NNG
한턱,NNG
소일거리,NNG
사례금,NNG
대가,NNG
노트북,NNG
게임기,NNG
굴뚝,NNG
마늘,NNG
흑자,NNG
정직,NNG
나머지,NNG
경운기,NNG
채널,NNG
영심,NNP
미용실,NNG
홍보,NNG
효과,NNG
방앗간,NNG
장사,NNG
장마,NNG
국가,NNG
군,NNG
집수리,NNG
동,NNP
뜨개질,NNG
억,NR
감개무량,NNG
시설,NNG
경로,NNG
우대,NNG
행운,NNG
근육,NNG
피로,NNG
전세,NNG
만기,NNG
목돈,NNG
외식,NNG
유산,NNG
심신,NNG
입덧,NNG
영구,NNG
불가,NNG
선후배,NNG
창피해,NNP
법,NNG
머리끝,NNG
산후조리,NNG
참담,NNG
학부모,NNG
면담,NNG
언쟁,NNG
이따금,MAG
다정,NNG
고등,NNG
흡연,NNG
표출,NNG
면허,NNG
운전,NNG
사진,NNG
적당히,MAG
사춘기,NNG
.조카,NNG
누나,NNG
정학,NNG
청소년,NNG
싸움,NNG
자제,NNG
몰래,MAG
대접,NNG
의무감,NNG
중학교,NNG
셔틀버스,NNG
운영,NNG
적,NNG
살림,NNG
진학,NNG
간만에,MAG
결코,MAG
고등학생,NNG
창,NNG
일찍이,MAG
재기,NNG
전념,NNG
